SMILES_1,SMILES_2,Temperatures (K)
CCCCCCC,Nc1ccccc1,"[373.324, 374.2242, 376.9248, 377.8249, 378.5251, 379.6253, 385.3262, 390.1267]"
CCCCCCCC,Oc1ccccc1,"[398.5193, 398.5493, 398.5593, 398.7093, 399.0792, 399.5791, 400.7089, 401.6587, 402.4585, 403.8082, 405.5279, 411.2767, 419.1252, 424.3141, 430.8229, 442.0418, 447.3113]"
C1CCCC1,ClC(Cl)(Cl)Cl,"[298.1444, 322.7372, 323.6369, 324.7366, 325.7363, 326.8359, 328.1356, 329.3352, 330.7349, 332.0346, 332.3345, 333.5343, 335.134, 336.8336, 338.8332, 340.8327, 343.1321, 345.9312, 348.8303]"
C1CCCC1,ClC(Cl)Cl,[298.1444]
C1CCCC1,ClC(Cl)=C(Cl)Cl,[297.9944]
C1CCCCC1,CCCCCCC,"[313.13, 333.124, 333.1344, 353.953, 353.993, 354.144, 354.15, 354.223, 354.503, 354.523, 354.723, 354.773, 354.85, 355.1185, 355.156, 355.163, 355.323, 355.862, 355.973, 356.123, 356.173, 356.18, 356.4381, 356.533, 357.008, 357.05, 357.123, 357.173, 357.74, 357.8576, 357.894, 357.993, 358.123, 358.473, 358.6, 358.873, 359.273, 359.3772, 359.563, 359.873, 359.95, 360.15, 360.473, 360.597, 360.623, 361.0168, 361.223, 361.473, 362.023, 362.06, 362.123, 362.423, 362.77, 362.7864, 363.013, 363.173, 363.273, 363.423, 363.8731, 364.34, 364.366, 364.4731, 364.7161, 364.9332, 365.2232, 365.6233, 365.777, 365.9233, 365.95, 366.4233, 366.6734, 366.8056, 366.9234, 366.9834, 367.1234, 367.423, 367.4234, 367.7235, 368.2735, 368.295, 368.4, 368.7736, 369.0236, 369.0752, 369.1836, 369.2236, 369.292, 369.45, 369.6237, 370.2237, 370.332, 370.3437, 371.0238, 371.3038]"
C1CCCCC1,CC(C)CC(C)(C)C,"[308.132, 308.1416, 318.1285, 328.1255, 338.124, 348.1235, 351.96, 352.57, 352.66, 353.28, 353.49, 354.08, 354.19, 354.83, 355.25, 355.46, 355.5, 355.93, 356.29, 356.88, 357.17, 357.71, 357.99, 358.64, 359.68, 360.65, 361.63, 362.78, 363.83, 364.77, 365.61, 366.94, 367.84, 368.83]"
C1CCCCC1,CC1CCCCC1,"[308.1416, 354.4, 354.5, 354.8, 355.1, 355.5, 355.8, 356.3, 356.8, 357.3, 357.9, 358.4, 359.6, 360.8, 362.8, 364.9, 365.4, 366.0, 366.6, 367.2, 367.9, 369.0, 370.5, 370.9, 371.7, 373.3]"
C1CCCCC1,C1CC[C@H]2CCCC[C@H]2C1,[298.1444]
C1CCCCC1,Cc1ccccc1,"[318.15, 323.1371, 323.15, 333.15, 343.15, 353.8288, 353.8788, 354.013, 354.223, 354.2487, 354.2787, 354.4886, 354.633, 354.853, 354.923, 354.9285, 354.973, 355.0285, 355.1185, 355.433, 355.5283, 355.593, 355.6283, 355.823, 356.0082, 356.1282, 356.2781, 356.578, 356.623, 356.728, 356.873, 357.043, 357.1079, 357.133, 357.3278, 357.573, 357.6777, 357.8776, 357.923, 357.9276, 358.123, 358.2775, 358.373, 358.3775, 358.4874, 358.723, 358.9273, 358.9773, 359.013, 359.673, 359.6771, 359.7971, 359.823, 360.027, 360.177, 360.473, 360.523, 360.7269, 360.8268, 361.073, 361.103, 361.123, 361.173, 361.2967, 361.4767, 361.6767, 361.973, 361.9766, 362.1766, 362.5265, 362.733, 362.7764, 362.873, 363.0964, 363.1764, 363.223, 363.2763, 363.493, 363.5263, 363.6731, 363.9762, 364.1731, 364.5261, 364.6261, 364.6561, 364.9332, 364.9732, 365.026, 365.4759, 365.7259, 365.8733, 366.0258, 366.1258, 366.2233, 366.2258, 366.2533, 366.5133, 366.5257, 366.9234, 367.0256, 367.3234, 367.5755, 367.6335, 367.6555, 368.3735, 368.6236, 368.6253, 368.7752, 369.1236, 369.4236, 369.4736, 369.5136, 369.5251, 369.6251, 369.6751, 369.7437, 370.0737, 370.3749, 370.5237, 370.9748, 371.4738, 371.6247, 371.7239, 371.7247, 371.7946, 372.4745, 372.5245, 372.5645, 372.624, 373.124, 373.2244, 373.4241, 373.4243, 373.6741, 374.1242, 374.3743, 374.7241, 374.8744, 375.184, 375.9046, 375.9238, 375.9746, 376.0738, 376.4747, 376.9736, 376.9748, 377.0736, 377.6735, 378.025, 378.125, 378.1734, 378.3233, 378.4433, 378.5751, 379.2232, 380.0254, 380.1654, 380.8255, 380.9828, 381.3757, 381.6227, 382.0826, 382.4225, 382.9024, 383.126, 383.2823, 395.64, 396.48, 397.7, 398.64, 401.59, 403.82, 405.94, 408.56, 411.16, 413.16, 416.14, 419.1, 420.06, 421.56, 421.89, 422.63, 423.3, 424.31, 425.75, 425.94, 426.9, 428.92, 430.92, 433.67, 436.57, 436.95, 439.41, 439.56, 441.37, 442.42, 443.46, 445.44, 445.62, 447.76, 448.18, 450.95, 451.08, 451.64, 452.26, 453.51, 453.84, 455.32, 457.1, 457.21, 458.81, 460.06, 460.85, 463.05, 465.73, 468.58, 468.69, 472.02, 474.53, 477.01, 479.42, 481.61, 482.81]"
